split,sentiment,review,happiness_score
test,pos,"I recommend Idiocracy to everyone. Luke Wilson is very funny, the movie is insightful and made me laugh so hard I had tears running down my face several times. Until the end, when I took a breath and realized just how close we are to Mr. Judge's vision of tomorrow.<br /><br />Keep an eye out for a cameo by the guy from the Mac commercials (Justin Long)as Dr. Lexus. I found his performance Oscar-worthy, especially considering what Oscars have been handed out for in the recent past...besides, he's cute.<br /><br />In short, Idiocracy is a fatally funny glimpse into a possible future where people are named after product brand names (the president's middle name is Mountain Dew), hospital visits cost $5 billion dollars, there are mountains of garbage because no one is smart enough to figure out what to do with it all, and nobody cares about anything but money. All because only stupid people are breeding. Sounds familiar to me, somehow. Oh, yeah; it's what I think of when I see professional wrestling...<br /><br />Seriously, watch this movie. It's a good laugh and it will make you think.",6.214074074074074
train,neg,"In a college dorm a guy is killed by somebody with a scythe. His girlfriend Beth (Dorie Barton) discovers him and tries to commit suicide. She's institutionalized. A year later she's out, has a new boyfriend named Hank (Joseph Lawrence) and is about to spend Spring Break with Hank and four other mindless friends in a BIG, beautiful condo in Florida. Naturally the killer pops up (for no reason) and starts killing again.<br /><br />Lousy slasher thriller--a textbook example of how NOT to do a low-budget horror movie. For starters, large portions of this film are ENDLESS filler of these six idiots videotaping themselves, having ""fun"" (more fun than the audience), getting drunk, acting stupid etc etc. Also there is NO nudity in here at all. I'm not saying a horror film needs nudity but ANYTHING to liven this up would have helped. None of the deaths are really shown (you hear them), are only a little bloody and there is no gore. There's one REAL gruesome one--but that's not till the end.<br /><br />With a few exceptions the acting sucks. Dorie Barton is dreadful as the main woman and Tom Jay Jones is lousy as Oz. Chad Allen pops up as Brad and he's TERRIBLE. Lawrence is actually very good--handsome and hunky and giving this crap his all. And Jeff Conaway pops up in a small role doing a pretty good job.<br /><br />Logic lapses abound--after they realize a friend has been killed two of the girls casually talk about sex; Baston's non reaction to seeing a friend getting killed is kind of funny and WHAT happens to Lawrence? His character disappears without a trace at the end! Dull, stupid, no gore, no nudity--skip this one.",5.285205479452055
test,pos,"A bland title disguises this solidly-carpentered example of old-fashioned Hollywood entertainment, this film proves a largely successful hodgepodge of several disparate elements: a period piece, a romantic drama, a crime movie and a political thriller. Interestingly, though made by Fox, its protagonists  Robert Taylor and Barbara Stanwyck  were both usually associated with other studios; their on screen chemistry here is palpable and eventually led to marriage in a couple of years' time. While a bit too young, Taylor is a dashing hero (a Marine personally appointed by President McKinley to uncover the culprits behind an organized clean-up of numerous banks); unsurprisingly, no sooner has he tracked them down (led by smooth Brian Donlevy and thuggish Victor McLaglen) that he falls for a chanteuse (naturally, Stanwyck) who has thrown her lot with the gang  although, truth be told, singing is far from being the actress' forte! Similarly, apart from having to prove his worth to make it into their fold, he has to vie with McLaglen for Stanwyck's attentions; by the way, the practical joker persona of the former reminded me a lot of Charley Chase in SONS OF THE DESERT (1933) which, incidentally, was likewise directed by William A. Seiter. Later on, Taylor is in two minds about involving Stanwyck in the impending bait and tries to offer his resignation to the President while eloping with the girl  but the jealous rival disrupts his plans. The robbery gone awry, we find Donlevy dead and the other two in jail; Taylor's hopes for McKinley's intervention  having meanwhile learned the identity of the elusive and obviously prominent 'inside man'  are seemingly dashed when the President winds up assassinated himself (a great plot twist, though the resulting eleventh-hour suspense feels contrived)! To get back to the film's jumble of styles, even if the vaudeville sequences are a matter of taste, the romantic triangle slows things up and it skimps somewhat on the thriller aspect, this emerges a handsome production indeed  with the actors already mentioned ably supported by the likes of John Carradine (who unaccountably disappears after just one scene!), Douglas Fowley, Sig Rumann and, as two American Presidents, Sidney Blackmer (the bubbly Theodore Roosevelt) and Frank Conroy (McKinley).",5.897142857142858
train,neg,"When I saw this movie cover, the first thing I thought was that it was made for video. The second thing that came to mind was how similar this looked to another terrible movie ""Darkness Falls"", the tale of this dumb witch who killed people in the dark. Unfortunately, Darkness Falls was quite the masterpiece compared to this pile of garbage, and this movie should not have been made.<br /><br />The film starts off with a small back story for the witch, or, more like a pointless introduction of two little kids who are going to go meet the tooth fairy in hopes of her giving them a shiny new bicycle for their tooth. The opening is filmed poorly, and like the rest of the movie, it's certainly not scary. In present time, the movie is about Peter (Lochlyn Munroe). Peter's renting out his house, and his ex-girlfriend Darcy (Chandra West), and her daughter Cole come to stay there. Cole meets a neighborhood child, and they talk of the Tooth Fairy, and how you shouldn't lose your tooth, or she'll come for you. Unfortunately seconds later, it looks like the Tooth Fairy steals her bike and knocks her tooth out (How ironic). Will Cole survive the wrath of the Tooth Fairy, and will her mother and Peter be able to save her, and rekindle their romance...this is a bad movie, you could probably figure it out.<br /><br />One of the main problems with this idiotic film is how undefined the Tooth Fairy is. They say she kills you if you lose your tooth, but nope. She's more like a serial killer who kills at random, and if you lose your tooth, you're definitely going to go. She steals a bike, so apparently she's a thief too. I said earlier that the idea for this movie was based on Darkness Falls, but where did they get the inspiration for the Tooth Fairy's appearance? Let's see. She looks like a burn victim, and she previously went around the neighborhood slaughtering children. Hmmm...it's almost as though she's an exact rip-off of Freddy Krueger from the ""Nightmare on Elm Street"" films. And this is not the worst part of this awful mess, the climax is. This movie might have the most laughable climax (Not literally laughable because I found it more sickening than funny) I've ever seen. Don't see this.<br /><br />Just a little trivia. Lochlyn Munroe was in Scary Movie, and Jianna Ballard was in Scary Movie 3, and they both were in this, so apparently Scary Movie stars are forced to end out their career with bad scary movies.<br /><br />My rating: 1/2 out of ****. 80 mins. R for violence.",5.390687022900763
train,pos,"Some films just simply should not be remade. This is one of them. In and of itself it is not a bad film. But it fails to capture the flavor and the terror of the 1963 film of the same title. Liam Neeson was excellent as he always is, and most of the cast holds up, with the exception of Owen Wilson, who just did not bring the right feel to the character of Luke. But the major fault with this version is that it strayed too far from the Shirley Jackson story in it's attempts to be grandiose and lost some of the thrill of the earlier film in a trade off for snazzier special effects. Again I will say that in and of itself it is not a bad film. But you will enjoy the friction of terror in the older version much more.",5.373125
train,pos,"I find I enjoy this show, but the format needs some work. First off, the good attributes. I like how this show will take us through the day-to-day life of an addict because the producers have a knack at getting the addict to show us how bad they've allowed their lives to become. This is followed by an intervention which is then followed by an outcome. Intervention doesn't candy-coat things and sometimes the outcome (often short term due to the constraints of time between filming and airing) is a negative outcome. This makes the positive outcomes all the better.<br /><br />Another thing I like about the show is the quality of the camera work. Given the reality that these cameramen have to squeeze anywhere and don't have the benefit of re shooting scenes the photography is surprisingly good and stable. It's actually superior to scripted shows like ""The Shield"" where the photography is so bad it can induce nausea.<br /><br />Now for the bad. An episode will sometimes contain two completely different and unrelated cases that will be mixed together during the show. You'll get caught up in the story of one addict then suddenly you're thrown into the story of another. Get caught up in that story then suddenly you're back to the first addict...or are you? By now you may have forgotten which case the individual currently on screen belong to. This constant flip-flopping between addicts really gets disruptive during the intervention scenes because the show will even mix together the two completely unrelated interventions! I once heard the marketing B.S. reason for this poor design: ""The show can get so intense that switching to another addict allows the viewer time to absorb what they're watching."" Oh please. Clearly the reason this is done is because they have two cases that aren't big enough for an hour show so they mix two together. By mixing them instead of giving each a half hour block, like they should, it forces the viewer to watch the entire thing (and the commercials) if they are interested in one case but not the other.<br /><br />I used to find these ""blender"" episodes so annoying that I'd only tell my TiVo to record episodes containing one addict, but then it became easier just to record all of them.",5.7588372093023255
train,neg,"This one hearkens back to the days of the matinée, when kids with nowhere else to hang out took their dates to the balcony after dumping their younger siblings below. It didn't matter what was on the screen - the little kids would sit through it and the big kids would ignore it. The adults, of course, would never see it.<br /><br />But they put it on video, anyway, along with most of the other creaky, low-budget ""B"" horror flicks of the golden age...of television. This film's inherent and unintentional humor is derived from stale ideology (the ""bad girls"" harvested to replace poor Jan's crushed body - they had it comin'), overused plot (a mad scientist, trying to play God), violent yet conscientious monster (whose presence in the heretofore-normal-seeming scientist's rural lab is never fully explained), and acting that polarizes at wooden or over-the-top.<br /><br />This is a great party film, assuming your guests enjoy adding dialog and commentary to otherwise abominable cinematic exploits. In fact, should you or your guests prefer more passive entertainment, this film is also available on video in its ""Mystery Science Theater 3000"" treatment, in which the host and puppets of the cult TV series make the necessary additions for you.",5.822264150943396
train,pos,"I always have a bit of distrust before watching the British period films because I usually find on them insipid and boring screenplays (such as the ones of, for example, Vanity Fair or The Other Boleyn Girl), but with a magnificent production design, European landscapes and those thick British accents which make the movies to suggest artistic value which they do not really have.Fortunately, the excellent film The Young Victoria does not fall on that situation, and it deserves an enthusiastic recommendation because of its fascinating story, the excellent performances from Emily Blunt, Paul Bettany and Jim Broadbent, and the costumes and locations which unexpectedly make the movie pretty rich to the view.And I say ""unexpectedly"" because I usually do not pay too much attention to those details.<br /><br />""Victorian era"" was (in my humble opinion) one of the key points in contemporary civilization, and not only on the social aspect, but also in the scientific, artistic and cultural ones.But I honestly did not know about the origins from that era very much, and maybe because of that I enjoyed this simplification of the political and economic events which prepared the landing of modern era so much.I also liked the way in which Queen Victoria is portrayed, which is as a young and intelligent monarch whose decisions were not always good, but they were at least inspired by good intentions.I also found the depiction of the romance between Victoria and Prince Albert very interesting because it is equally interested in the combination of intellects as well as in the emotions it evokes.The only fail I found on this movie is that screenwriter Julian Fellowes used some clichés of the romantic cinema on the love story, something which feels a bit out of place on his screenplay.<br /><br />I liked The Young Victoria very much, and I really took a very nice surprise with it.I hope more period films follow the example of this movie: the costumes and the landscapes should work as the support of an interesting story, and not as the replacement of it.",6.418023255813956
train,neg,"A small town is attacked by a horde of bloodthirsty vampires. The only hope is a lone avenger and a group of ragtag survivors.<br /><br />Released in 1993, ""Darkness"" garnered something of a cult following upon release. It's easy to see why-it's loaded (and I mean freaking loaded) with gore, and it's energy and enthusiasm, like that found in other no-budget cult horror flicks like ""The Dead Next Door"" and ""The Children of Ravensback"", is actually rather infectious.<br /><br />While that may be true, that's sadly not enough to save it. The film was shot on a Super 8, so the image is grainy and dark, making things very difficult to see (it would have been great if it had obscured the protagonists dreadful mullet.) Also grating is the soundtrack, made up of annoying Casio Keyboard and even more annoying Death Metal (seriously, what is it with these no budget horror flicks and bad Death Metal?) While one isn't expecting Oscar worthy performances, the acting is still strictly amateur hour, as the actors sometimes seem almost confused instead of frightened or threatened.<br /><br />In the end, I'm sure fans of no-budget gorefests will love this. Everyone else though, will wish there was a little more meat on the ribs.",5.298032786885246
train,neg,"I made the big mistake of actually watching this whole movie a few nights ago. God I'm still trying to recover. This movie does not even deserve a 1.4 average. IMDb needs to have 0 vote ratings possible for movies that really deserve it like this one. A 1.4 is TOO HIGH.<br /><br />I had heard how awful this movie was, but I really did not think a movie could actually be that bad, especially in this day and era. I figured all of the cheesy god awful movies were only from the 1950s and 1960s. My god was I wrong. Trust me folks, this movie REALLY IS THAT BAD. It is beyond horrible; it is beyond pathetic; it is beyond any type of word that I can think of for it. BATTLEFIELD EARTH looks like Best Picture of the Year compared to this movie. SNAKE ISLAND (which up until now was the worst movie I'd ever seen) looks like it deserves a few Oscars compared to this pathetic effort.<br /><br />I seriously can not believe that the makers of this movie thought this was a legitimate serious effort of producing a Hollywood movie. This has no business being called a movie. In the first 25 seconds of the film, I seriously thought I was watching some high school theater class attempting to make a short movie. Or better yet, I thought it was some Saturday night Live ripoff skit of the real thing. I mean, it looks exactly like that. The acting is horrible; the whole movie almost looks like it was shot with a 20 year old VHS video camera. the special effects.......well good lord Bewitched from back in the day had better special effects than this movie. The scene where he gets shot at the door is beyond laughable and beyond cheesy. I mean seriously, my Intro to Acting class from 4 years ago in college, all of us could have put together a better movie than this. And the worst part of the entire movie, where Arthur is naked in the bathroom. Oh my god I almost thew up right there. I have a strong stomach, but wow that was horrible. Some people should never be naked, and he's one of them. The plot of this movie just seems to go absolutely nowhere. They talk about legal issues that we never hear about again; Ben talks about getting into music that we never hear about again; arthur says he is looking for a job and money for college and the next thing we see is he's running a porn shop. Everything about the movie is just horrible.<br /><br />This really doesn't have much to do with my critique, but just so everyone knows, I am not a gay man. I DO however support gay rights and believe we should all be treated as equals. And I would support any gay person in my church, unlike the cruel priest in this movie, who by the way seems to cuss every other word. (WHERE IS THE F*(#*ing white out?) hahaha But I didn't want anyone to think I hated this movie just because of it being about two gay guys. It has nothing to do with that: This would have been just as horrible of a movie if it was Ben & Jill instead of Ben & Arthur.<br /><br />I just watched this movie to see if it really was as bad as they say. And yes it was even WORSE than I had read. Let this be a warning to everyone: ONLY watch this movie if you want to just sit back and laugh at how pathetic some movies in the 21st century can still be. If you watch this movie and are actually expecting a good movie or some entertainment, I have no sympathy for you whatsoever.<br /><br />On a final thought: How in the world are there 7 movies ranked BELOW this on IMDb? There is no way there are 7 movies out there that are worse than this!",5.820558659217878
test,pos,"A lot of people give this movie a lot of crap, and all of it's really undeserved. People give this movie a hard time either because it's such a sick subject or they harp on some technical aspect of the movie no one else observes when they watch it. If, just by looking at the cover, you think this movie will make you uncomfortable...DON'T WATCH IT! However, you'd be missing out on one of the better cinematic experiences of the late 1990's, despite what anyone else says.<br /><br />Dee Snider is wonderful here as Captain Howdy, the depths of insanity he plumbs to play this character has to be beyond words, and is much farther than any one of us would have to be willing to go. The acting here is wonderful. The film itself beautifully shot. The subject may be a bit too much for many to swallow, but it's still well worth your time. If you haven't seen this movie, check it out.",5.771282051282052
test,neg,"The only reason I didn't fall asleep during this movie is because the seats were not that comfortable. Hannibal is BORING>BORING> BORING and BORING!!! This film is just dreadful, not because of any violence or graphic mutilations. It's actually quite tame in that regard. The story moves at the speed of a lazy snail. I have the feeling that director Ridley Scott just phoned this one in. The actors are all fine they just needed some direction. The music score is also very annoying. It's especially noticeable since so little is going on in the film. It does look good but that's not enough reason to see it. By the way did I mention that it's BORING?<br /><br />",5.118571428571429
